nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,data_source
SWE,"MF,FW",19,2005,21,7,648,7.2,1,1,2,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,big5_club
ESP,MF,18,2006,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,17,2008,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
POL,GK,35,1990,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,18,2007,4,1,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,18,2007,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,32,1993,35,21,1900,21.1,14,2,16,10,4,4,7,0,0.66,0.09,0.76,0.47,0.57,big5_club
ESP,"FW,MF",23,2001,19,13,1131,12.6,1,1,2,0,1,1,1,0,0.08,0.08,0.16,0.0,0.08,big5_club
SWE,DF,30,1995,19,17,1491,16.6,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,24,2001,8,6,610,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,22,2003,2,2,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",21,2004,17,13,1170,13.0,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,big5_club
ESP,FW,26,1999,30,21,1652,18.4,9,3,12,9,0,0,4,0,0.49,0.16,0.65,0.49,0.65,big5_club
ESP,MF,26,1999,10,7,528,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,22,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,21,2003,20,16,1338,14.9,0,2,2,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,big5_club
ESP,"FW,MF",22,2003,28,15,1340,14.9,4,2,6,4,0,0,2,0,0.27,0.13,0.4,0.27,0.4,big5_club
ESP,"FW,MF",37,1987,32,11,1140,12.7,5,3,8,3,2,2,4,0,0.39,0.24,0.63,0.24,0.47,big5_club
GUI,MF,22,2003,36,26,2495,27.7,2,3,5,2,0,0,8,0,0.07,0.11,0.18,0.07,0.18,big5_club
ROU,GK,28,1997,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,22,2003,33,28,2558,28.4,0,1,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,big5_club
ESP,MF,23,2002,26,16,1404,15.6,2,6,8,2,0,0,6,0,0.13,0.38,0.51,0.13,0.51,big5_club
MAR,"MF,FW",19,2006,22,4,681,7.6,2,0,2,2,0,0,0,0,0.26,0.0,0.26,0.26,0.26,big5_club
GHA,DF,29,1995,8,7,639,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,24,2001,14,9,758,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,34,1990,32,31,2768,30.8,1,0,1,0,1,1,5,0,0.03,0.0,0.03,0.0,0.0,big5_club
URU,MF,33,1991,6,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,22,2002,19,14,1311,14.6,1,0,1,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,big5_club
SRB,"MF,DF",29,1995,5,4,253,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"FW,MF",24,2001,30,17,1425,15.8,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,big5_club
ESP,MF,24,2000,34,29,2694,29.9,2,1,3,2,0,0,2,0,0.07,0.03,0.1,0.07,0.1,big5_club
SWE,"FW,MF",21,2004,29,13,1270,14.1,5,5,10,5,0,0,2,0,0.35,0.35,0.71,0.35,0.71,big5_club
ESP,DF,21,2004,12,11,938,10.4,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,MF",25,2000,6,5,328,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,26,1999,34,21,1968,21.9,1,4,5,1,0,0,4,0,0.05,0.18,0.23,0.05,0.23,big5_club
MAR,MF,19,2005,7,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0.0,0.87,0.87,0.87,big5_club
ESP,"DF,MF",27,1998,26,8,1090,12.1,1,1,2,1,0,0,4,0,0.08,0.08,0.17,0.08,0.17,big5_club
ESP,MF,29,1996,36,36,3160,35.1,2,2,4,2,0,0,10,0,0.06,0.06,0.11,0.06,0.11,big5_club
MAR,MF,19,2005,2,2,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
POR,FW,29,1995,31,22,1849,20.5,10,0,10,7,3,3,3,0,0.49,0.0,0.49,0.34,0.34,big5_club
SEN,DF,27,1997,4,1,102,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,MF",17,2007,12,8,538,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,big5_club
AUT,DF,24,2001,36,33,2949,32.8,1,1,2,1,0,0,7,1,0.03,0.03,0.06,0.03,0.06,big5_club
ARG,MF,22,2003,11,1,179,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,DF",23,2002,36,33,2857,31.7,4,5,9,4,0,0,4,1,0.13,0.16,0.28,0.13,0.28,big5_club
ESP,MF,27,1998,12,8,718,8.0,1,0,1,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,big5_club
COD,"MF,FW",27,1998,20,13,926,10.3,1,0,1,1,0,0,3,0,0.1,0.0,0.1,0.1,0.1,big5_club
ESP,"DF,MF",18,2006,14,7,482,5.4,2,2,4,2,0,0,0,0,0.37,0.37,0.75,0.37,0.75,big5_club
ESP,GK,26,1999,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,FW",31,1993,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,MF",24,2000,21,6,665,7.4,1,0,1,1,0,0,3,0,0.14,0.0,0.14,0.14,0.14,big5_club
ESP,"MF,DF",35,1989,19,4,565,6.3,0,3,3,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48,big5_club
CHI,MF,22,2002,10,4,402,4.5,1,0,1,1,0,0,1,0,0.22,0.0,0.22,0.22,0.22,big5_club
FRA,DF,28,1997,32,18,1572,17.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,25,2000,35,30,2500,27.8,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,big5_club
POR,MF,22,2003,25,15,1347,15.0,2,5,7,2,0,0,3,0,0.13,0.33,0.47,0.13,0.47,big5_club
ARG,GK,38,1987,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
MAR,FW,27,1998,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,34,1990,28,25,2063,22.9,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,big5_club
ESP,"FW,MF",28,1997,27,21,1803,20.0,8,0,8,7,1,2,4,0,0.4,0.0,0.4,0.35,0.35,big5_club
ESP,"MF,FW",20,2005,16,6,794,8.8,1,0,1,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,big5_club
ESP,MF,28,1996,13,11,929,10.3,1,1,2,1,0,0,1,0,0.1,0.1,0.19,0.1,0.19,big5_club
ESP,DF,25,2000,31,22,2166,24.1,1,0,1,1,0,0,9,1,0.04,0.0,0.04,0.04,0.04,big5_club
ESP,MF,22,2003,9,3,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,19,2006,1,0,6,0.1,0,1,1,0,0,0,0,0,0.0,15.0,15.0,0.0,15.0,big5_club
ESP,"DF,MF",25,2000,19,19,1647,18.3,0,2,2,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,big5_club
URU,FW,21,2004,34,24,2201,24.5,7,5,12,7,0,0,2,0,0.29,0.2,0.49,0.29,0.49,big5_club
ESP,MF,22,2002,13,3,289,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,23,2001,36,36,3191,35.5,6,3,9,6,0,0,4,0,0.17,0.08,0.25,0.17,0.25,big5_club
COD,MF,28,1997,24,4,707,7.9,1,0,1,1,0,0,4,2,0.13,0.0,0.13,0.13,0.13,big5_club
GER,DF,22,2003,20,16,1396,15.5,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,big5_club
BEL,MF,25,2000,9,6,424,4.7,0,2,2,0,0,0,4,0,0.0,0.42,0.42,0.0,0.42,big5_club
ESP,MF,28,1996,36,32,2523,28.0,1,6,7,1,0,0,9,0,0.04,0.21,0.25,0.04,0.25,big5_club
ESP,DF,29,1995,28,24,2148,23.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,GK,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",27,1998,10,8,674,7.5,2,0,2,1,1,2,2,0,0.27,0.0,0.27,0.13,0.13,big5_club
ESP,MF,24,2001,26,9,930,10.3,1,0,1,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,big5_club
ESP,DF,24,2000,11,2,257,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,FW,35,1989,37,17,1734,19.3,8,1,9,7,1,2,3,0,0.42,0.05,0.47,0.36,0.42,big5_club
URU,DF,34,1991,37,37,3330,37.0,3,0,3,3,0,0,4,0,0.08,0.0,0.08,0.08,0.08,big5_club
ESP,FW,18,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ITA,MF,20,2004,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
SRB,GK,33,1992,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,27,1998,12,1,206,2.3,1,0,1,1,0,0,0,0,0.44,0.0,0.44,0.44,0.44,big5_club
MAR,DF,21,2003,36,32,2826,31.4,0,2,2,0,0,0,9,0,0.0,0.06,0.06,0.0,0.06,big5_club
ESP,"MF,FW",32,1992,33,24,1973,21.9,7,1,8,7,0,0,6,1,0.32,0.05,0.36,0.32,0.36,big5_club
ESP,MF,25,1999,33,28,2157,24.0,2,1,3,2,0,0,12,1,0.08,0.04,0.13,0.08,0.13,big5_club
ESP,MF,24,2000,29,12,1030,11.4,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,big5_club
ESP,FW,23,2002,38,25,2382,26.5,7,3,10,6,1,1,3,0,0.26,0.11,0.38,0.23,0.34,big5_club
ESP,"DF,MF",24,2001,21,8,812,9.0,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,big5_club
ENG,MF,23,2001,36,28,2415,26.8,2,5,7,2,0,0,7,1,0.07,0.19,0.26,0.07,0.26,big5_club
ESP,MF,24,2001,35,28,2623,29.1,0,1,1,0,0,0,7,0,0.0,0.03,0.03,0.0,0.03,big5_club
MAR,DF,26,1999,23,17,1437,16.0,0,2,2,0,0,0,10,1,0.0,0.13,0.13,0.0,0.13,big5_club
ENG,MF,22,2003,12,1,256,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"FW,MF",20,2005,28,21,1702,18.9,3,0,3,3,0,0,5,1,0.16,0.0,0.16,0.16,0.16,big5_club
ESP,MF,20,2004,3,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,FW",26,1999,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
CMR,DF,37,1988,15,7,523,5.8,0,1,1,0,0,0,6,1,0.0,0.17,0.17,0.0,0.17,big5_club
ESP,FW,28,1997,16,12,1058,11.8,4,1,5,4,0,1,0,0,0.34,0.09,0.43,0.34,0.43,big5_club
NGA,FW,22,2003,3,3,270,3.0,1,1,2,1,0,0,1,0,0.33,0.33,0.67,0.33,0.67,big5_club
ESP,MF,23,2002,14,2,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,22,2003,3,2,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,GK,32,1993,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,17,2007,14,7,700,7.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,32,1993,28,18,1758,19.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,big5_club
TOG,"DF,MF",33,1991,34,32,2578,28.6,0,0,0,0,0,0,10,2,0.0,0.0,0.0,0.0,0.0,big5_club
POR,DF,30,1995,34,34,2923,32.5,1,1,2,1,0,0,11,0,0.03,0.03,0.06,0.03,0.06,big5_club
ESP,MF,22,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,27,1998,37,36,3185,35.4,1,2,3,1,0,0,4,0,0.03,0.06,0.08,0.03,0.08,big5_club
MAR,DF,20,2004,4,1,122,1.4,0,1,1,0,0,0,2,0,0.0,0.74,0.74,0.0,0.74,big5_club
ESP,"MF,FW",30,1995,17,4,551,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,21,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,21,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"FW,MF",32,1993,8,0,179,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,big5_club
ESP,"DF,MF",34,1991,28,25,2008,22.3,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,big5_club
ESP,MF,30,1994,37,37,3271,36.3,1,10,11,1,0,0,5,1,0.03,0.28,0.3,0.03,0.3,big5_club
ARG,FW,24,2001,17,14,1194,13.3,3,1,4,3,0,0,2,0,0.23,0.08,0.3,0.23,0.3,big5_club
ESP,"MF,FW",21,2004,35,26,2125,23.6,2,1,3,2,0,0,11,0,0.08,0.04,0.13,0.08,0.13,big5_club
URU,"FW,MF",24,2001,18,18,1603,17.8,6,1,7,6,0,0,5,0,0.34,0.06,0.39,0.34,0.39,big5_club
URU,MF,29,1995,37,37,3249,36.1,6,2,8,4,2,3,6,0,0.17,0.06,0.22,0.11,0.17,big5_club
URU,DF,21,2003,11,4,380,4.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,big5_club
SRB,FW,27,1998,6,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
CMR,MF,28,1997,5,0,67,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ARG,DF,25,1999,15,15,1349,15.0,1,0,1,1,0,0,5,1,0.07,0.0,0.07,0.07,0.07,big5_club
ESP,"MF,FW",28,1997,18,5,708,7.9,0,1,1,0,0,0,4,1,0.0,0.13,0.13,0.0,0.13,big5_club
ESP,FW,25,2000,9,0,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,22,2002,24,11,1116,12.4,0,2,2,0,0,0,2,1,0.0,0.16,0.16,0.0,0.16,big5_club
ESP,"DF,MF",22,2003,35,33,2666,29.6,2,3,5,2,0,0,6,0,0.07,0.1,0.17,0.07,0.17,big5_club
BEL,MF,36,1989,32,30,2526,28.1,1,2,3,1,0,0,2,1,0.04,0.07,0.11,0.04,0.11,big5_club
MAR,MF,25,2000,24,20,1760,19.6,5,2,7,4,1,1,6,0,0.26,0.1,0.36,0.2,0.31,big5_club
MKD,FW,26,1999,1,1,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",24,2001,29,20,1578,17.5,0,3,3,0,0,0,6,0,0.0,0.17,0.17,0.0,0.17,big5_club
ARG,"FW,MF",19,2006,17,5,624,6.9,1,1,2,1,0,0,4,0,0.14,0.14,0.29,0.14,0.29,big5_club
URU,FW,38,1986,21,1,412,4.6,5,0,5,2,3,4,4,0,1.09,0.0,1.09,0.44,0.44,big5_club
NED,DF,35,1990,31,30,2606,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,35,1989,6,3,293,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
MTN,FW,22,2002,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
NED,MF,28,1997,2,1,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,26,1999,17,11,1012,11.2,1,0,1,1,0,0,3,0,0.09,0.0,0.09,0.09,0.09,big5_club
ESP,DF,22,2003,33,16,1750,19.4,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,big5_club
ESP,MF,26,1999,35,29,2532,28.1,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,big5_club
COL,MF,20,2004,12,3,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",20,2005,32,16,1473,16.4,3,1,4,3,0,0,4,1,0.18,0.06,0.24,0.18,0.24,big5_club
VEN,MF,19,2006,2,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
CZE,DF,26,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
GUI,FW,21,2004,5,0,43,0.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,big5_club
GER,GK,33,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ARG,GK,33,1992,35,35,3102,34.5,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"FW,MF",33,1992,10,4,474,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
FRA,MF,29,1995,27,14,1258,14.0,3,1,4,3,0,0,4,0,0.21,0.07,0.29,0.21,0.29,big5_club
UKR,"MF,FW",27,1997,32,31,2630,29.2,6,5,11,6,0,0,3,0,0.21,0.17,0.38,0.21,0.38,big5_club
BRA,DF,19,2006,36,35,3138,34.9,1,1,2,1,0,0,9,1,0.03,0.03,0.06,0.03,0.06,big5_club
UKR,GK,20,2005,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
UKR,FW,23,2002,27,27,1942,21.6,9,1,10,6,3,3,4,0,0.42,0.05,0.46,0.28,0.32,big5_club
VEN,MF,27,1998,2,2,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
COL,"FW,MF",21,2003,15,6,611,6.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,32,1993,31,28,2559,28.4,0,3,3,0,0,0,5,0,0.0,0.11,0.11,0.0,0.11,big5_club
ESP,DF,26,1999,33,30,2711,30.1,3,1,4,2,1,3,5,0,0.1,0.03,0.13,0.07,0.1,big5_club
URU,DF,20,2004,19,10,947,10.5,1,1,2,1,0,0,0,1,0.1,0.1,0.19,0.1,0.19,big5_club
ESP,"MF,FW",28,1996,19,10,1005,11.2,1,1,2,1,0,0,1,1,0.09,0.09,0.18,0.09,0.18,big5_club
ESP,FW,20,2005,25,13,1343,14.9,11,0,11,11,0,0,3,0,0.74,0.0,0.74,0.74,0.74,big5_club
ESP,MF,21,2003,30,23,1890,21.0,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,big5_club
ESP,DF,25,2000,8,6,534,5.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,big5_club
CTA,FW,25,2000,11,2,247,2.7,1,0,1,1,0,0,1,0,0.36,0.0,0.36,0.36,0.36,big5_club
ESP,MF,23,2001,23,10,902,10.0,3,1,4,3,0,0,1,0,0.3,0.1,0.4,0.3,0.4,big5_club
ESP,"FW,MF",24,2001,32,28,2259,25.1,7,1,8,7,0,1,5,0,0.28,0.04,0.32,0.28,0.32,big5_club
GER,DF,30,1994,37,37,3164,35.2,1,4,5,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,big5_club
ESP,DF,21,2004,5,4,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,38,1987,20,1,363,4.0,1,1,2,0,1,1,1,0,0.25,0.25,0.5,0.0,0.25,big5_club
ESP,MF,19,2005,21,17,1133,12.6,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,big5_club
CMR,FW,21,2003,30,15,1416,15.7,6,2,8,6,0,1,3,0,0.38,0.13,0.51,0.38,0.51,big5_club
HON,MF,27,1998,27,16,1532,17.0,3,3,6,3,0,0,8,1,0.18,0.18,0.35,0.18,0.35,big5_club
ESP,DF,24,2000,33,31,2814,31.3,1,2,3,1,0,0,8,0,0.03,0.06,0.1,0.03,0.1,big5_club
AUS,GK,33,1992,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,big5_club
ARG,DF,21,2003,28,27,2252,25.0,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,16,2008,3,1,148,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,24,2000,33,18,1734,19.3,1,5,6,1,0,0,2,1,0.05,0.26,0.31,0.05,0.31,big5_club
ESP,MF,27,1998,20,14,1319,14.7,0,1,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,big5_club
ESP,GK,23,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,27,1998,27,21,1857,20.6,1,5,6,1,0,0,3,0,0.05,0.24,0.29,0.05,0.29,big5_club
ESP,"MF,FW",17,2007,12,4,472,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,26,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ISR,MF,21,2004,7,0,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
FRA,MF,22,2003,16,8,706,7.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,MF",32,1993,12,11,958,10.6,1,0,1,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,big5_club
ESP,MF,24,2000,16,11,812,9.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",27,1997,21,12,1040,11.6,2,1,3,2,0,0,1,0,0.17,0.09,0.26,0.17,0.26,big5_club
ESP,FW,32,1992,15,0,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,33,1991,24,23,2070,23.0,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,big5_club
ESP,"MF,DF",28,1997,30,9,1073,11.9,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"FW,MF",37,1988,2,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,22,2003,14,9,837,9.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,19,2005,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",19,2006,31,19,1792,19.9,2,4,6,2,0,0,0,1,0.1,0.2,0.3,0.1,0.3,big5_club
ESP,MF,22,2002,16,1,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,DF,18,2007,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
COL,DF,32,1992,35,30,2724,30.3,0,4,4,0,0,0,6,1,0.0,0.13,0.13,0.0,0.13,big5_club
FRA,FW,20,2004,3,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,GK,25,2000,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,big5_club
FIN,GK,22,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
,DF,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,26,1999,32,22,1765,19.6,3,0,3,3,0,0,5,1,0.15,0.0,0.15,0.15,0.15,big5_club
ALB,DF,25,2000,8,5,439,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,MF,19,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,big5_club
SVK,DF,29,1995,37,37,3308,36.8,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"MF,FW",21,2003,29,19,1699,18.9,2,3,5,2,0,0,2,0,0.11,0.16,0.26,0.11,0.26,big5_club
ESP,"DF,MF",25,2000,18,9,704,7.8,1,0,1,1,0,0,2,0,0.13,0.0,0.13,0.13,0.13,big5_club
ESP,DF,19,2006,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
EQG,"MF,DF",32,1993,30,26,2239,24.9,2,2,4,2,0,0,5,0,0.08,0.08,0.16,0.08,0.16,big5_club
ESP,DF,28,1997,31,30,2662,29.6,1,2,3,1,0,0,11,0,0.03,0.07,0.1,0.03,0.1,big5_club
ESP,"MF,FW",22,2003,35,19,1599,17.8,4,4,8,4,0,0,4,0,0.23,0.23,0.45,0.23,0.45,big5_club
POR,MF,24,2000,34,31,2697,30.0,7,2,9,7,0,0,11,0,0.23,0.07,0.3,0.23,0.3,big5_club
ESP,MF,31,1993,38,30,2680,29.8,1,5,6,1,0,0,3,0,0.03,0.17,0.2,0.03,0.2,big5_club
