nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,data_source
ENG,MF,18,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
SCO,MF,30,1994,30,28,2137,23.7,5,4,9,5,0,0,5,0,0.21,0.17,0.38,0.21,0.38,big5_club
NED,"MF,DF",21,2004,28,11,1053,11.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,big5_club
JAM,MF,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,big5_club
FRA,DF,32,1993,31,21,1852,20.6,0,6,6,0,0,0,3,0,0.0,0.29,0.29,0.0,0.29,big5_club
NED,GK,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
POL,DF,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,big5_club
ENG,MF,23,2002,37,37,3280,36.4,10,6,16,10,0,0,7,0,0.27,0.16,0.44,0.27,0.44,big5_club
ENG,FW,29,1995,37,33,2839,31.5,16,3,19,16,0,0,4,0,0.51,0.1,0.6,0.51,0.6,big5_club
ESP,DF,28,1997,21,18,1676,18.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,MF,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,big5_club
ENG,FW,27,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,0.0,0.63,0.63,0.63,big5_club
ENG,DF,32,1993,17,15,1324,14.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
SWE,"DF,MF",31,1994,17,11,948,10.5,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,big5_club
BEL,MF,28,1997,25,21,1862,20.7,0,4,4,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,big5_club
ENG,DF,34,1991,22,14,1077,12.0,0,2,2,0,0,0,3,0,0.0,0.17,0.17,0.0,0.17,big5_club
FRA,DF,23,2001,38,38,3379,37.5,1,5,6,1,0,0,5,0,0.03,0.13,0.16,0.03,0.16,big5_club
ENG,MF,21,2003,37,34,2849,31.7,3,1,4,3,0,0,5,0,0.09,0.03,0.13,0.09,0.13,big5_club
HUN,MF,19,2005,9,2,140,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
MAR,MF,25,2000,31,10,1093,12.1,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,big5_club
GHA,MF,25,2000,20,20,1798,20.0,10,3,13,9,1,2,6,0,0.5,0.15,0.65,0.45,0.6,big5_club
FRA,DF,24,2001,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
SCO,MF,19,2005,8,0,113,1.3,0,1,1,0,0,0,0,0,0.0,0.8,0.8,0.0,0.8,big5_club
ENG,MF,20,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
WAL,MF,28,1997,31,13,1204,13.4,1,3,4,1,0,0,7,0,0.07,0.22,0.3,0.07,0.3,big5_club
FRA,"MF,FW",19,2006,33,21,1672,18.6,13,0,13,11,2,2,5,0,0.7,0.0,0.7,0.59,0.59,big5_club
TUR,FW,28,1997,23,0,232,2.6,1,0,1,1,0,0,1,0,0.39,0.0,0.39,0.39,0.39,big5_club
BRA,FW,25,1999,36,32,2742,30.5,6,1,7,6,0,0,2,0,0.2,0.03,0.23,0.2,0.23,big5_club
CIV,MF,25,2000,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,5.29,5.29,0.0,5.29,big5_club
ENG,DF,23,2002,29,22,2106,23.4,0,3,3,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13,big5_club
ARG,DF,20,2005,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
NED,MF,26,1999,20,10,952,10.6,2,0,2,2,0,0,5,0,0.19,0.0,0.19,0.19,0.19,big5_club
ENG,"MF,DF",28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,big5_club
ARG,DF,28,1997,37,37,3288,36.5,0,5,5,0,0,0,8,0,0.0,0.14,0.14,0.0,0.14,big5_club
ENG,MF,26,1999,34,31,2732,30.4,7,4,11,5,2,2,6,0,0.23,0.13,0.36,0.16,0.3,big5_club
BRA,MF,18,2006,15,13,1111,12.3,5,2,7,5,0,0,1,0,0.41,0.16,0.57,0.41,0.57,big5_club
SCO,MF,30,1995,26,9,993,11.0,2,0,2,2,0,0,3,1,0.18,0.0,0.18,0.18,0.18,big5_club
USA,MF,26,1999,25,21,1773,19.7,2,2,4,2,0,0,8,0,0.1,0.1,0.2,0.1,0.2,big5_club
SRB,DF,18,2007,7,4,368,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ESP,"DF,MF",20,2005,31,26,2317,25.7,1,0,1,1,0,0,10,0,0.04,0.0,0.04,0.04,0.04,big5_club
SRB,GK,25,1999,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,big5_club
SCO,"DF,MF",23,2002,21,8,690,7.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
NED,MF,20,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
IRL,GK,26,1998,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
BFA,MF,23,2002,32,25,2276,25.3,7,3,10,7,0,0,5,0,0.28,0.12,0.4,0.28,0.4,big5_club
JAM,DF,32,1993,4,4,318,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,big5_club
POR,MF,22,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88,big5_club
NGA,MF,27,1998,6,0,92,1.0,0,1,1,0,0,0,0,0,0.0,0.98,0.98,0.0,0.98,big5_club
ISL,GK,23,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
BRA,FW,24,2001,38,37,3282,36.5,22,1,23,14,8,9,7,0,0.6,0.03,0.63,0.38,0.41,big5_club
ENG,MF,35,1990,32,22,1919,21.3,1,3,4,1,0,0,6,0,0.05,0.14,0.19,0.05,0.19,big5_club
ENG,MF,26,1998,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
BEL,FW,18,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
ENG,"DF,MF",24,2001,36,22,1972,21.9,3,3,6,3,0,0,1,0,0.14,0.14,0.27,0.14,0.27,big5_club
GER,"MF,FW",23,2001,35,32,2745,30.5,8,3,11,8,0,1,6,1,0.26,0.1,0.36,0.26,0.36,big5_club
NOR,DF,27,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,big5_club
DEN,MF,29,1996,36,26,2247,25.0,3,1,4,3,0,0,3,0,0.12,0.04,0.16,0.12,0.16,big5_club
ITA,DF,21,2004,37,37,3258,36.2,1,1,2,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06,big5_club
DEN,MF,25,2000,33,24,2054,22.8,4,4,8,4,0,0,0,0,0.18,0.18,0.35,0.18,0.35,big5_club
ENG,MF,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
IRL,DF,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,big5_club
ENG,"FW,MF",25,1999,10,0,126,1.4,0,1,1,0,0,0,0,0,0.0,0.71,0.71,0.0,0.71,big5_club
JAM,DF,28,1997,25,14,1328,14.8,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,big5_club
ENG,FW,18,2006,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,big5_club
NED,DF,23,2001,32,30,2763,30.7,0,2,2,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,big5_club
GER,MF,27,1998,25,15,1444,16.0,1,4,5,1,0,0,8,0,0.06,0.25,0.31,0.06,0.31,big5_club
UKR,MF,21,2004,37,30,2659,29.5,1,2,3,1,0,0,7,0,0.03,0.07,0.1,0.03,0.1,big5_club
NED,GK,22,2002,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,big5_club
GER,MF,21,2004,18,8,719,8.0,1,1,2,1,0,0,2,0,0.13,0.13,0.25,0.13,0.25,big5_club
CMR,MF,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,big5_club
GRE,FW,18,2007,21,2,369,4.1,2,1,3,2,0,0,2,0,0.49,0.24,0.73,0.49,0.73,big5_club
ENG,FW,34,1990,37,26,2258,25.1,13,1,14,12,1,3,5,0,0.52,0.04,0.56,0.48,0.52,big5_club
ITA,DF,21,2003,5,2,194,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,big5_club
PAR,"MF,FW",22,2003,32,26,2120,23.6,5,1,6,5,0,0,9,0,0.21,0.04,0.25,0.21,0.25,big5_club
TUR,"DF,MF",25,1999,37,34,3133,34.8,1,0,1,1,0,0,6,0,0.03,0.0,0.03,0.03,0.03,big5_club
