nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,data_source
TUR,"MF,DF",28,1997,30.3,1,22,4,18.2,0.73,0.13,0.05,0.25,0,0,big5_club
GAM,FW,23,2001,11.0,2,13,4,30.8,1.19,0.36,0.15,0.5,0,0,big5_club
ITA,MF,25,2000,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,FW,26,1999,28.4,9,73,30,41.1,2.57,1.06,0.12,0.3,0,1,big5_club
KVX,GK,26,1998,32.0,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,FW,26,1998,28.8,7,71,26,36.6,2.47,0.9,0.1,0.27,0,0,big5_club
BEL,MF,22,2002,7.7,0,3,1,33.3,0.39,0.13,0.0,0.0,0,0,big5_club
NED,DF,24,2000,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,MF,18,2006,0.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,FW,21,2003,11.8,2,21,7,33.3,1.78,0.59,0.1,0.29,0,0,big5_club
ROU,MF,26,1998,1.5,0,2,0,0.0,1.33,0.0,0.0,,0,0,big5_club
FRA,MF,17,2007,1.4,0,3,1,33.3,2.11,0.7,0.0,0.0,0,0,big5_club
ITA,FW,30,1994,21.8,8,40,21,52.5,1.84,0.97,0.15,0.29,2,3,big5_club
ITA,MF,24,2001,2.9,1,3,1,33.3,1.04,0.35,0.33,1.0,0,0,big5_club
GNB,DF,27,1998,5.7,0,3,0,0.0,0.53,0.0,0.0,,0,0,big5_club
ITA,DF,28,1997,3.5,0,2,0,0.0,0.58,0.0,0.0,,0,0,big5_club
ITA,GK,22,2003,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
CAN,MF,23,2002,30.4,6,23,10,43.5,0.76,0.33,0.26,0.6,0,0,big5_club
IDN,DF,25,2000,34.0,0,5,0,0.0,0.15,0.0,0.0,,0,0,big5_club
SCO,DF,23,2002,21.3,0,11,4,36.4,0.52,0.19,0.0,0.0,0,0,big5_club
NOR,MF,26,1999,27.3,4,43,13,30.2,1.57,0.48,0.09,0.31,0,0,big5_club
DEN,FW,22,2002,0.1,0,1,0,0.0,9.0,0.0,0.0,,0,0,big5_club
ITA,MF,20,2005,11.5,0,12,3,25.0,1.04,0.26,0.0,0.0,0,0,big5_club
ITA,FW,24,2001,2.3,0,6,1,16.7,2.56,0.43,0.0,0.0,0,0,big5_club
ANG,FW,28,1996,5.3,1,11,4,36.4,2.09,0.76,0.09,0.25,0,0,big5_club
SRB,MF,36,1988,29.6,1,11,4,36.4,0.37,0.14,0.09,0.25,0,0,big5_club
ITA,"FW,MF",26,1998,1.6,0,5,2,40.0,3.17,1.27,0.0,0.0,0,0,big5_club
BRA,DF,21,2004,1.4,0,0,0,,0.0,0.0,,,0,0,big5_club
POL,DF,25,2000,31.7,0,7,0,0.0,0.22,0.0,0.0,,0,0,big5_club
ITA,GK,23,2001,5.9,0,0,0,,0.0,0.0,,,0,0,big5_club
BIH,DF,22,2003,31.5,2,20,7,35.0,0.63,0.22,0.1,0.29,0,0,big5_club
ITA,DF,19,2006,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,big5_club
SUI,DF,29,1996,10.5,1,2,1,50.0,0.19,0.1,0.5,1.0,0,0,big5_club
MAR,FW,27,1998,2.5,1,8,2,25.0,3.26,0.81,0.13,0.5,0,0,big5_club
MLI,DF,26,1999,11.7,0,6,1,16.7,0.51,0.09,0.0,0.0,0,0,big5_club
MAR,DF,31,1994,2.6,0,0,0,,0.0,0.0,,,0,0,big5_club
CMR,DF,31,1994,12.4,0,5,0,0.0,0.4,0.0,0.0,,0,0,big5_club
ITA,GK,32,1992,29.0,0,0,0,,0.0,0.0,,,0,0,big5_club
FRA,DF,21,2004,0.2,0,1,0,0.0,4.29,0.0,0.0,,0,0,big5_club
SWE,"MF,FW",20,2005,3.3,1,6,3,50.0,1.81,0.9,0.17,0.33,0,0,big5_club
ALB,DF,28,1996,21.2,0,6,4,66.7,0.28,0.19,0.0,0.0,0,0,big5_club
ITA,MF,22,2003,22.2,6,35,17,48.6,1.58,0.77,0.17,0.35,0,0,big5_club
SCO,FW,29,1996,21.0,6,53,18,34.0,2.52,0.86,0.11,0.33,0,0,big5_club
ITA,"MF,DF",32,1992,5.7,0,2,0,0.0,0.35,0.0,0.0,,0,0,big5_club
BEL,FW,25,2000,11.0,1,24,12,50.0,2.17,1.09,0.04,0.08,0,0,big5_club
COL,FW,34,1991,12.3,3,34,15,44.1,2.77,1.22,0.09,0.2,0,1,big5_club
TUR,MF,21,2004,11.1,1,13,3,23.1,1.17,0.27,0.08,0.33,0,0,big5_club
CMR,DF,26,1999,12.4,0,0,0,,0.0,0.0,,,0,0,big5_club
ENG,MF,23,2001,3.2,0,4,1,25.0,1.25,0.31,0.0,0.0,0,0,big5_club
URU,GK,25,2000,9.0,0,0,0,,0.0,0.0,,,0,0,big5_club
ARG,FW,30,1995,24.8,11,78,28,35.9,3.15,1.13,0.14,0.39,0,0,big5_club
CHI,DF,31,1994,23.8,2,18,8,44.4,0.76,0.34,0.11,0.25,0,0,big5_club
LTU,MF,21,2004,19.5,0,27,5,18.5,1.38,0.26,0.0,0.0,0,0,big5_club
SRB,MF,24,2001,4.6,0,0,0,,0.0,0.0,,,0,0,big5_club
ALB,MF,23,2002,12.5,0,20,4,20.0,1.59,0.32,0.0,0.0,0,1,big5_club
ITA,DF,21,2004,6.4,0,1,0,0.0,0.16,0.0,0.0,,0,0,big5_club
NOR,"MF,DF",25,2000,23.7,1,15,3,20.0,0.63,0.13,0.07,0.33,0,0,big5_club
ITA,MF,21,2003,6.8,0,12,0,0.0,1.76,0.0,0.0,,0,0,big5_club
FRA,"MF,DF",24,2000,3.9,0,4,1,25.0,1.01,0.25,0.0,0.0,0,0,big5_club
CRO,"MF,FW",27,1997,33.8,8,49,17,34.7,1.45,0.5,0.06,0.18,5,5,big5_club
ESP,MF,21,2004,12.4,1,7,2,28.6,0.56,0.16,0.14,0.5,0,0,big5_club
CRO,FW,25,1999,3.3,0,5,2,40.0,1.5,0.6,0.0,0.0,0,0,big5_club
EQG,DF,26,1999,34.3,1,15,4,26.7,0.44,0.12,0.07,0.25,0,0,big5_club
AUT,MF,29,1996,25.0,0,8,2,25.0,0.32,0.08,0.0,0.0,0,0,big5_club
MAR,MF,25,2000,5.7,0,7,2,28.6,1.23,0.35,0.0,0.0,0,0,big5_club
FRA,MF,16,2008,0.1,0,0,0,,0.0,0.0,,,0,0,big5_club
POL,FW,29,1996,10.2,3,12,6,50.0,1.17,0.59,0.25,0.5,0,0,big5_club
ITA,MF,24,2000,14.2,1,3,1,33.3,0.21,0.07,0.33,1.0,0,0,big5_club
FRA,MF,22,2003,28.4,5,57,20,35.1,2.01,0.7,0.09,0.25,0,0,big5_club
CRO,DF,18,2007,1.8,0,1,0,0.0,0.54,0.0,0.0,,0,0,big5_club
BEL,DF,34,1991,25.0,3,9,6,66.7,0.36,0.24,0.33,0.5,0,0,big5_club
ITA,GK,39,1985,2.0,0,0,0,,0.0,0.0,,,0,0,big5_club
CIV,"MF,DF",31,1994,20.7,0,16,5,31.3,0.77,0.24,0.0,0.0,0,0,big5_club
SEN,FW,18,2006,4.7,1,20,6,30.0,4.28,1.28,0.05,0.17,0,0,big5_club
ESP,FW,20,2005,2.3,1,4,1,25.0,1.75,0.44,0.25,1.0,0,0,big5_club
POL,MF,27,1997,18.8,1,36,9,25.0,1.91,0.48,0.03,0.11,0,0,big5_club
SWE,MF,30,1995,35.0,1,20,3,15.0,0.57,0.09,0.05,0.33,0,0,big5_club
ZIM,"MF,DF",25,1999,12.5,0,5,1,20.0,0.4,0.08,0.0,0.0,0,0,big5_club
COL,MF,19,2005,2.1,0,1,1,100.0,0.47,0.47,0.0,0.0,0,0,big5_club
NED,MF,25,2000,24.3,5,33,15,45.5,1.36,0.62,0.15,0.33,0,0,big5_club
ENG,FW,27,1998,22.9,10,50,25,50.0,2.18,1.09,0.12,0.24,4,4,big5_club
NED,"MF,DF",30,1995,20.1,2,9,2,22.2,0.45,0.1,0.22,1.0,0,0,big5_club
SCO,MF,18,2006,11.1,0,9,1,11.1,0.81,0.09,0.0,0.0,0,0,big5_club
NGA,GK,25,1999,29.1,0,0,0,,0.0,0.0,,,0,0,big5_club
GER,DF,17,2008,1.3,0,0,0,,0.0,0.0,,,0,0,big5_club
ITA,"DF,MF",22,2003,19.6,0,13,4,30.8,0.66,0.2,0.0,0.0,0,0,big5_club
ITA,"FW,MF",26,1999,25.1,5,72,22,30.6,2.87,0.88,0.07,0.23,0,0,big5_club
ESP,MF,26,1999,5.3,0,4,1,25.0,0.76,0.19,0.0,0.0,0,0,big5_club
FRA,DF,25,2000,32.9,3,33,6,18.2,1.0,0.18,0.06,0.33,1,1,big5_club
ROU,GK,23,2002,6.9,0,0,0,,0.0,0.0,,,0,0,big5_club
ANG,MF,25,1999,1.3,0,1,1,100.0,0.76,0.76,0.0,0.0,0,0,big5_club
GEO,DF,21,2004,4.7,0,3,1,33.3,0.64,0.21,0.0,0.0,0,0,big5_club
SVN,MF,27,1998,1.8,0,3,1,33.3,1.68,0.56,0.0,0.0,0,0,big5_club
DEN,DF,23,2002,27.5,3,11,6,54.5,0.4,0.22,0.27,0.5,0,0,big5_club
CIV,FW,28,1997,5.0,0,14,2,14.3,2.78,0.4,0.0,0.0,0,0,big5_club
